"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"218","Alaska","2015-09-16",4.908333,8,0.005375,7,2.2979165,0.263333,6,3
"219","Alaska","2015-09-17",4.7625,8,0.00275,6,2.9604165,0.276042,9,3
"220","Alaska","2015-09-18",4.2875,6,0.005583,7,2.909317,0.27154,6,3
"221","Alaska","2015-09-19",3.866667,8,0.008667,11,2.4604165,0.231458,7,3
"222","Alaska","2015-09-20",3.625,8,0.013208,17,2.6916665,0.2414585,7,3
"223","Alaska","2015-09-21",3.954167,11,0.014167,16,2.0307455,0.243225,7,3
"224","Alaska","2015-09-22",1.9875,6,0.018083,20,1.5354165,0.2135415,6,2
"225","Alaska","2015-09-23",6.7625,14,0.013875,18,2.45625,0.286875,7,3
"226","Alaska","2015-09-24",9.46087,19,0.010583,17,2.893939,0.301894,10,5
"227","Alaska","2015-09-25",6.420833,12,0.009167,13,1.825,0.2327085,6,3
"228","Alaska","2015-09-26",6.579167,10,0.009333,13,2.5375,0.254583,6,3
"229","Alaska","2015-09-27",5.208333,16,0.012083,19,1.837267,0.223551,4,3
"230","Alaska","2015-09-28",9.754167,17,0.007333,12,2.6354165,0.3195835,6,5
"231","Alaska","2015-09-29",5.254167,8,0.013583,15,2.0145835,0.2214585,3,3
"232","Alaska","2015-09-30",3.475,6,0.016708,17,1.79441,0.248261,3,3
"233","Alaska","2015-10-01",7.383333,21,0.013542,19,2.66875,0.3697915,13,7
"234","Alaska","2015-10-02",12.717391,20,0.005583,11,3.498758,0.42053,10,6
"235","Alaska","2015-10-03",12.3,19,0.006042,10,3.776708,0.389348,9,6
"236","Alaska","2015-10-04",5.8875,8,0.007167,9,2.475,0.2572915,6,3
"237","Alaska","2015-10-05",9.795833,15,0.004,9,3.15,0.3816665,7,5
"238","Alaska","2015-10-06",12.3125,25,0.002208,6,5.20559,0.437935,10,7
"239","Alaska","2015-10-07",11.475,19,0.0055,11,4.6208335,0.4145835,17,6
"240","Alaska","2015-10-08",10.034783,24,0.0135,21,3.96677,0.3884965,13,7
"241","Alaska","2015-10-09",8.625,21,0.017333,20,4.2996895,0.219203,24,5
"242","Alaska","2015-10-10",9.763636,19,0.011042,17,2.7666665,0.213125,10,5
"243","Alaska","2015-10-11",11.0875,19,0.010167,19,3.7520835,0.3575,11,6
"244","Alaska","2015-10-12",10.516667,16,0.006042,9,3.7909935,0.3709785,16,5
"245","Alaska","2015-10-13",11.077273,18,0.003333,7,4.0041665,0.439375,11,7
"246","Alaska","2015-10-14",12.208333,17,0.0015,3,5.3272725,0.4737685,16,7
"247","Alaska","2015-10-15",14.395,25,0.003292,7,5.8642855,0.5545835,17,8
"248","Alaska","2015-10-16",11.681818,24,0.012,20,4.8791665,0.4316665,17,8
"249","Alaska","2015-10-17",12.116667,17,0.005208,8,4.2145835,0.272917,13,5
